X,Y,Z,class
0.06,-1.04,0.06,4
0.06,-1.16,0.18,4
44.51,-40.71,-62.68,4
0.06,-1.22,0.12,4
0.06,-1.16,0.18,4
45.02,-40.15,-61.85,4
0.12,-1.10,0.12,4
0.06,-1.16,0.18,4
44.38,-40.89,-62.60,4
0.06,-0.85,0.18,4
0.06,-1.16,0.18,4
45.07,-40.65,-62.15,4
-0.06,-1.34,0.18,4
0.06,-1.16,0.18,4
44.60,-40.39,-62.08,4
0.00,-1.16,0.00,4
0.06,-1.16,0.18,4
44.89,-40.50,-62.92,4
0.06,-1.16,0.12,4
0.06,-1.16,0.18,4
45.18,-41.06,-63.31,4
-0.06,-1.22,0.12,4
0.06,-1.16,0.18,4
44.62,-40.93,-62.95,4
0.06,-1.22,0.18,4
0.06,-1.16,0.18,4
44.38,-40.47,-62.50,4
0.06,-1.16,0.06,4
0.06,-1.16,0.18,4
44.45,-40.41,-63.92,4
-0.06,-1.04,0.06,4
0.06,-1.16,0.18,4
44.90,-41.09,-62.78,4
0.00,-1.16,0.00,4
0.06,-1.16,0.18,4
45.02,-40.60,-62.76,4
-0.06,-1.28,0.18,4
0.06,-1.16,0.18,4
44.35,-40.83,-62.98,4
0.00,-1.04,0.00,4
0.12,-1.40,-0.06,4
44.89,-40.95,-63.27,4
0.00,-1.16,0.06,4
0.12,-1.40,-0.06,4
44.45,-40.82,-62.37,4
-0.12,-1.22,0.12,4
0.12,-1.40,-0.06,4
45.00,-40.27,-63.57,4
0.06,-0.98,0.12,4
0.12,-1.40,-0.06,4
44.52,-40.48,-63.60,4
-0.06,-1.16,0.12,4
0.12,-1.40,-0.06,4
44.68,-41.03,-62.68,4
-0.18,-1.04,0.00,4
0.12,-1.40,-0.06,4
44.81,-40.63,-62.50,4
0.06,-1.04,0.18,4
0.00,-0.98,0.00,4
45.01,-40.52,-63.75,4
0.24,-1.28,0.06,4
0.00,-0.98,0.00,4
44.63,-40.71,-63.24,4
0.06,-1.04,0.06,4
0.00,-0.98,0.00,4
45.03,-41.03,-62.94,4
0.12,-1.16,0.06,4
0.00,-0.98,0.00,4
45.09,-40.77,-63.22,4
-0.06,-1.22,0.06,4
0.00,-0.98,0.00,4
44.70,-41.08,-62.96,4
0.00,-1.04,0.06,4
0.00,-0.98,0.00,4
44.58,-40.95,-62.26,4
0.00,-1.10,0.24,4
0.12,-0.92,0.18,4
44.25,-40.93,-63.50,4
0.18,-1.89,0.06,4
0.12,-0.92,0.18,4
45.02,-40.59,-63.06,4
0.00,-1.34,0.12,4
0.12,-0.92,0.18,4
44.56,-40.59,-62.33,4
-0.06,-0.24,-0.06,4
0.12,-0.92,0.18,4
44.47,-40.87,-63.18,4
-0.12,-1.04,0.24,4
0.12,-0.92,0.18,4
44.40,-41.27,-62.49,4
-0.12,-0.73,-0.06,4
0.12,-0.92,0.18,4
44.84,-40.92,-62.90,4
0.00,-0.98,0.06,4
0.06,-0.92,0.18,4
44.92,-41.10,-64.07,4
0.06,-1.04,0.18,4
0.06,-0.92,0.18,4
44.80,-40.54,-62.08,4
0.06,-1.10,0.06,4
0.06,-0.92,0.18,4
45.14,-40.89,-63.62,4
-0.12,-1.16,0.12,4
0.06,-0.92,0.18,4
45.39,-41.16,-62.38,4
-0.06,-1.16,0.18,4
0.06,-0.92,0.18,4
45.09,-40.76,-63.18,4
-0.18,-1.04,0.06,4
0.06,-0.92,0.18,4
44.35,-40.25,-62.94,4
0.06,-1.10,0.00,4
0.00,-1.10,0.12,4
44.79,-40.71,-63.12,4
0.00,-1.10,0.06,4
0.00,-1.10,0.12,4
44.87,-40.15,-62.99,4
0.18,-1.04,0.06,4
0.00,-1.10,0.12,4
44.56,-41.32,-63.10,4
-0.18,-1.10,0.24,4
0.00,-1.10,0.12,4
44.86,-40.64,-62.38,4
0.06,-0.79,0.06,4
0.00,-1.10,0.12,4
45.01,-40.60,-62.04,4
0.06,-1.10,0.06,4
0.00,-1.10,0.12,4
45.47,-40.56,-62.65,4
0.12,-1.28,0.12,4
0.00,-1.28,0.18,4
45.37,-40.93,-63.98,4
-0.06,-0.98,0.12,4
0.00,-1.28,0.18,4
45.10,-40.75,-63.67,4
-0.06,-1.22,0.18,4
0.00,-1.28,0.18,4
45.28,-40.65,-63.05,4
-0.24,-1.04,0.06,4
0.00,-1.28,0.18,4
44.41,-40.99,-63.90,4
0.00,-1.16,0.18,4
0.00,-1.28,0.18,4
44.86,-40.99,-63.01,4
0.06,-0.85,0.18,4
0.00,-1.28,0.18,4
44.84,-40.26,-63.73,4
-0.12,-0.92,0.00,4
-0.18,-1.16,0.06,4
44.13,-40.21,-62.61,4
0.18,-1.16,0.06,4
-0.18,-1.16,0.06,4
44.98,-40.72,-61.47,4
-0.12,-1.10,0.18,4
-0.18,-1.16,0.06,4
44.86,-40.77,-63.13,4
0.00,-1.16,0.18,4
-0.18,-1.16,0.06,4
44.98,-41.06,-63.11,4
0.06,-1.04,0.24,4
0.00,-3.24,0.00,4
45.46,-40.98,-62.08,4
0.06,-1.28,0.12,4
0.00,-3.24,0.00,4
44.79,-40.82,-63.33,4
0.00,-1.22,0.06,4
0.00,-3.24,0.00,4
44.84,-40.55,-63.38,4
-0.12,-0.98,0.06,4
0.00,-3.24,0.00,4
45.06,-40.63,-63.28,4
0.12,-0.92,-0.12,4
0.00,-3.24,0.00,4
44.78,-40.38,-62.76,4
-0.12,-1.16,0.00,4
0.00,-3.24,0.00,4
45.15,-40.99,-63.77,4
0.18,-1.16,0.06,4
0.00,-3.24,0.00,4
44.32,-40.59,-64.16,4
-0.06,-1.04,0.12,4
0.00,-3.24,0.00,4
45.07,-40.26,-62.60,4
-0.12,-1.10,0.00,4
0.00,-3.24,0.00,4
45.20,-40.76,-63.27,4
-0.12,-1.16,0.12,4
0.00,-3.24,0.00,4
45.15,-40.38,-62.66,4
-0.06,-1.10,-0.06,4
0.00,-3.24,0.00,4
44.85,-40.56,-62.65,4
-0.12,-1.10,0.18,4
0.00,-3.24,0.00,4
44.76,-40.11,-62.65,4
0.00,-1.04,0.18,4
0.00,-3.24,0.00,4
45.04,-40.43,-62.70,4
0.12,-0.92,0.18,4
-0.12,-1.10,0.18,4
45.36,-40.43,-63.38,4
-0.06,-0.98,0.12,4
-0.12,-1.10,0.18,4
44.47,-40.87,-63.57,4
-0.06,-0.92,0.06,4
-0.12,-1.10,0.18,4
44.96,-40.60,-61.52,4
0.06,-1.22,0.06,4
-0.12,-1.10,0.18,4
44.64,-40.20,-62.90,4
0.00,-1.10,0.18,4
-0.12,-1.10,0.18,4
44.86,-40.81,-62.27,4
0.06,-0.98,0.18,4
-0.12,-1.10,0.18,4
44.86,-41.03,-62.73,4
0.06,-1.04,0.18,4
-0.06,-0.98,0.31,4
44.95,-41.11,-63.60,4
-0.06,-1.28,0.12,4
-0.06,-0.98,0.31,4
45.18,-40.92,-62.55,4
-0.18,-1.10,0.06,4
-0.06,-0.98,0.31,4
45.08,-41.31,-62.39,4
0.00,-0.98,0.06,4
-0.06,-0.98,0.31,4
45.18,-40.99,-63.31,4
0.24,-1.10,0.12,4
-0.06,-0.98,0.31,4
44.87,-41.15,-63.09,4
0.00,-1.04,-0.06,4
-0.06,-0.98,0.31,4
45.00,-41.11,-63.83,4
0.06,-1.16,0.18,4
0.06,-1.04,0.12,4
44.71,-41.09,-62.33,4
0.06,-1.22,0.18,4
0.06,-1.04,0.12,4
44.71,-41.49,-62.34,4
0.12,-0.73,0.12,4
0.06,-1.04,0.12,4
45.17,-41.36,-61.65,4
0.06,-1.04,0.12,4
0.06,-1.04,0.12,4
44.79,-41.02,-63.50,4
0.06,-0.98,0.24,4
0.06,-1.04,0.12,4
44.98,-41.03,-63.46,4
-0.06,-1.22,0.06,4
0.06,-1.04,0.12,4
45.08,-41.20,-62.46,4
0.06,-1.10,0.00,4
0.12,-0.98,-0.06,4
44.80,-41.11,-62.59,4
-0.12,-1.04,0.06,4
0.12,-0.98,-0.06,4
45.14,-40.67,-63.29,4
0.06,-1.28,0.12,4
0.12,-0.98,-0.06,4
44.65,-40.60,-63.16,4
0.00,-1.16,0.00,4
0.12,-0.98,-0.06,4
45.03,-40.30,-62.88,4
0.12,-1.22,0.00,4
0.12,-0.98,-0.06,4
44.93,-40.47,-63.13,4
-0.06,-1.22,0.24,4
0.12,-0.98,-0.06,4
44.53,-40.89,-64.58,4
0.12,-1.22,0.12,4
0.12,-1.10,0.06,4
44.84,-40.91,-63.09,4
0.06,-1.10,0.00,4
0.12,-1.10,0.06,4
