X,Y,Z,class
0.00,-0.73,0.06,2
9.55,6.69,65.20,2
0.00,-0.73,0.06,2
0.00,-0.73,0.06,2
9.09,6.04,64.83,2
-0.18,-0.73,0.12,2
-0.06,-0.55,0.06,2
9.52,6.25,65.12,2
-0.12,-0.61,0.06,2
-0.06,-0.55,0.06,2
9.64,5.51,64.92,2
0.18,-0.31,-0.06,2
-0.06,-0.55,0.06,2
9.57,6.45,65.49,2
-0.06,-0.43,-0.06,2
-0.06,-0.55,0.06,2
9.31,6.35,64.56,2
-0.06,-0.67,0.06,2
-0.06,-0.55,0.06,2
9.22,6.76,64.76,2
0.06,-0.73,0.18,2
-0.06,-0.55,0.06,2
9.25,6.74,64.06,2
-0.06,-0.67,0.12,2
-0.12,-0.73,-0.06,2
9.39,6.51,64.48,2
-0.12,-0.55,0.12,2
-0.12,-0.73,-0.06,2
9.06,5.82,64.81,2
-0.18,-0.73,0.06,2
-0.12,-0.73,-0.06,2
9.84,6.91,63.62,2
0.06,-0.67,0.18,2
-0.12,-0.73,-0.06,2
9.30,6.79,64.00,2
-0.06,-0.73,0.12,2
-0.12,-0.73,-0.06,2
9.46,6.57,64.49,2
-0.06,-0.61,0.12,2
-0.12,-0.73,-0.06,2
9.58,6.46,64.27,2
-0.31,-0.79,0.24,2
-0.12,-0.73,-0.06,2
9.08,7.03,64.95,2
0.06,-0.98,0.24,2
-0.12,-0.73,-0.06,2
9.48,6.62,65.14,2
0.06,-0.73,0.18,2
-0.12,-0.73,-0.06,2
9.41,6.69,64.86,2
0.12,-0.67,0.00,2
-0.12,-0.73,-0.06,2
9.59,6.74,65.42,2
-0.06,-0.79,0.06,2
-0.12,-0.73,-0.06,2
9.70,6.53,63.94,2
0.00,-0.73,0.06,2
-0.12,-0.73,-0.06,2
9.78,6.74,64.18,2
0.06,-0.61,0.00,2
0.00,-0.61,0.06,2
9.44,6.87,65.26,2
0.06,-0.43,0.12,2
0.00,-0.61,0.06,2
9.70,6.27,65.67,2
0.12,-0.61,0.06,2
0.00,-0.61,0.06,2
9.25,5.86,65.33,2
0.06,-0.55,0.00,2
0.00,-0.61,0.06,2
9.39,6.41,64.12,2
0.00,-0.67,0.00,2
0.00,-0.61,0.06,2
10.14,6.46,63.99,2
-0.12,-0.55,0.00,2
0.00,-0.61,0.06,2
9.45,6.32,64.26,2
-0.06,-0.61,0.12,2
0.00,-0.67,0.12,2
9.69,6.19,64.18,2
0.06,-0.55,0.12,2
0.00,-0.67,0.12,2
9.12,6.63,64.39,2
0.18,-0.43,0.12,2
0.00,-0.67,0.12,2
9.31,6.86,64.39,2
0.06,-0.67,0.06,2
0.00,-0.67,0.12,2
9.47,6.75,64.79,2
0.06,-0.61,0.00,2
0.00,-0.67,0.12,2
9.51,6.38,64.70,2
0.06,-0.43,0.06,2
0.00,-0.67,0.12,2
9.85,6.42,64.71,2
-0.12,-0.61,0.12,2
0.00,-0.49,0.12,2
9.72,6.18,65.05,2
0.12,-0.67,0.18,2
0.00,-0.49,0.12,2
9.46,6.27,64.92,2
-0.12,-0.61,0.18,2
0.00,-0.49,0.12,2
9.62,6.73,65.06,2
-0.18,-0.61,0.06,2
0.00,-0.49,0.12,2
9.38,6.15,65.52,2
0.00,-0.67,0.06,2
0.00,-0.49,0.12,2
10.01,6.45,64.98,2
-0.24,-0.43,0.06,2
0.00,-0.49,0.12,2
9.58,6.15,64.10,2
0.06,-0.55,0.00,2
-0.12,-0.49,0.12,2
9.36,6.31,64.48,2
-0.06,-0.55,0.06,2
-0.12,-0.49,0.12,2
9.63,6.42,64.26,2
0.00,-0.55,0.12,2
-0.12,-0.49,0.12,2
10.01,5.87,64.60,2
0.00,-0.67,0.12,2
-0.12,-0.49,0.12,2
9.50,6.62,63.32,2
0.00,-0.61,0.18,2
-0.12,-0.49,0.12,2
9.50,6.29,63.50,2
0.18,-0.55,0.18,2
-0.12,-0.49,0.12,2
9.84,6.45,64.18,2
-0.12,-0.49,0.18,2
-0.12,-0.49,0.12,2
9.74,6.15,64.31,2
0.00,-0.49,0.06,2
-0.12,-0.49,0.12,2
9.86,6.48,64.29,2
0.12,-0.61,0.12,2
-0.12,-0.49,0.12,2
9.88,6.30,64.49,2
0.06,-0.73,0.12,2
-0.12,-0.49,0.12,2
