X,Y,Z,class
-0.07,51.71,-73.45,3
-0.06,-1.53,-0.06,3
0.18,-1.46,-0.18,3
0.22,51.86,-73.23,3
0.00,-1.34,-0.06,3
0.18,-1.46,-0.18,3
-0.48,51.16,-73.60,3
0.06,-1.22,-0.06,3
0.18,-1.46,-0.18,3
-0.29,51.18,-73.74,3
0.24,-1.40,0.06,3
0.18,-1.46,-0.18,3
-0.29,51.16,-74.82,3
0.00,-1.22,0.00,3
0.18,-1.46,-0.18,3
-0.60,51.56,-73.27,3
0.00,-1.16,0.00,3
0.18,-1.46,-0.18,3
0.01,51.20,-74.23,3
0.12,-1.10,-0.06,3
0.18,-1.46,-0.18,3
-0.04,51.34,-73.41,3
-0.12,-1.28,0.00,3
0.18,-1.46,-0.18,3
-0.63,51.18,-73.93,3
-0.12,-1.22,-0.12,3
0.18,-1.46,-0.18,3
-0.18,51.33,-73.27,3
0.12,-1.28,-0.06,3
0.18,-1.46,-0.18,3
-0.11,51.64,-73.57,3
-0.06,-1.22,-0.12,3
0.18,-1.46,-0.18,3
-0.67,51.39,-73.86,3
0.06,-1.34,0.00,3
0.18,-1.46,-0.18,3
-0.29,51.50,-73.55,3
-0.12,-1.10,0.06,3
0.18,-1.46,-0.18,3
-0.65,51.18,-73.28,3
0.06,-1.40,-0.12,3
0.12,-1.16,-0.06,3
-0.21,51.56,-73.39,3
-0.12,-1.34,-0.18,3
0.12,-1.16,-0.06,3
0.22,51.87,-72.84,3
0.06,-1.22,0.00,3
0.12,-1.16,-0.06,3
-0.23,51.09,-74.02,3
0.06,-1.40,0.06,3
0.12,-1.16,-0.06,3
0.11,51.43,-72.73,3
-0.12,-1.46,-0.24,3
0.12,-1.16,-0.06,3
-0.44,51.35,-73.29,3
0.12,-1.46,-0.12,3
0.12,-1.16,-0.06,3
-0.70,51.26,-73.27,3
0.00,-1.28,-0.12,3
0.18,-1.34,0.00,3
-0.11,51.67,-72.63,3
0.00,-1.28,0.00,3
0.18,-1.34,0.00,3
-0.56,51.21,-73.19,3
0.12,-1.53,-0.06,3
0.18,-1.34,0.00,3
-0.98,51.83,-72.96,3
0.00,-1.34,-0.06,3
0.18,-1.34,0.00,3
0.07,51.14,-72.74,3
-0.06,-1.46,0.06,3
0.18,-1.34,0.00,3
0.09,51.42,-72.97,3
0.00,-1.28,0.06,3
0.18,-1.34,0.00,3
0.35,51.27,-73.49,3
0.00,-1.28,-0.12,3
-0.06,-1.34,-0.12,3
-0.15,51.23,-72.86,3
0.12,-1.16,0.00,3
-0.06,-1.34,-0.12,3
-0.37,51.38,-73.65,3
-0.12,-1.46,-0.24,3
-0.06,-1.34,-0.12,3
-0.52,51.65,-73.22,3
-0.06,-1.40,-0.06,3
-0.06,-1.34,-0.12,3
-0.13,51.60,-72.88,3
0.06,-1.34,0.06,3
-0.06,-1.34,-0.12,3
-0.28,51.27,-73.55,3
0.12,-1.22,0.00,3
-0.06,-1.34,-0.12,3
-0.18,51.40,-72.51,3
0.00,-1.22,0.00,3
-0.06,-1.34,-0.12,3
-0.55,51.72,-74.43,3
