X,Y,Z,class
0.12,-1.71,0.43,1
0.83,-42.04,-104.71,1
0.24,-1.89,0.49,1
0.12,-1.71,0.43,1
0.13,-41.60,-104.54,1
0.24,-1.89,0.43,1
0.24,-1.89,0.37,1
0.39,-41.87,-104.33,1
0.24,-1.59,0.31,1
0.24,-1.89,0.37,1
0.35,-41.87,-105.49,1
0.06,-1.77,0.31,1
0.24,-1.89,0.37,1
-0.35,-42.21,-105.18,1
0.12,-1.83,0.31,1
0.24,-1.89,0.37,1
-0.11,-42.27,-106.01,1
0.12,-1.77,0.37,1
0.24,-1.89,0.37,1
0.32,-42.33,-105.35,1
0.31,-1.83,0.31,1
0.24,-1.89,0.37,1
0.16,-41.27,-104.77,1
0.24,-1.95,0.37,1
0.24,-1.89,0.37,1
0.20,-41.69,-106.40,1
0.55,-1.89,0.43,1
0.24,-1.89,0.37,1
0.07,-41.36,-105.37,1
0.31,-1.83,0.37,1
0.24,-1.89,0.37,1
0.12,-41.86,-105.24,1
0.37,-1.83,0.37,1
0.24,-1.89,0.37,1
-0.10,-41.59,-106.56,1
0.31,-1.95,0.31,1
0.24,-1.89,0.37,1
-0.26,-40.97,-106.09,1
0.12,-1.71,0.55,1
0.24,-1.89,0.37,1
0.02,-41.86,-104.93,1
0.12,-1.89,0.31,1
0.24,-1.89,0.37,1
-0.21,-42.13,-105.79,1
0.43,-1.83,0.37,1
0.24,-1.89,0.37,1
0.05,-42.09,-104.81,1
0.18,-1.71,0.37,1
0.24,-1.89,0.37,1
-0.46,-42.20,-105.27,1
0.12,-1.65,0.37,1
0.24,-1.89,0.37,1
-0.13,-41.88,-105.55,1
0.24,-1.71,0.37,1
0.24,-1.89,0.37,1
0.35,-42.13,-105.05,1
0.24,-1.89,0.37,1
0.24,-1.89,0.37,1
-0.28,-42.13,-106.07,1
0.43,-1.77,0.37,1
0.24,-1.89,0.37,1
1.00,-42.50,-106.04,1
0.31,-1.89,0.43,1
0.24,-1.89,0.37,1
0.46,-41.67,-104.26,1
0.24,-1.95,0.43,1
0.24,-1.89,0.37,1
-0.18,-42.33,-105.79,1
0.12,-1.65,0.31,1
0.24,-1.89,0.37,1
0.10,-42.22,-104.82,1
0.31,-1.77,0.43,1
0.24,-1.89,0.37,1
0.45,-41.99,-105.27,1
0.18,-1.83,0.37,1
0.37,-1.77,0.31,1
0.78,-41.99,-105.70,1
0.18,-1.65,0.18,1
0.37,-1.77,0.31,1
0.35,-42.14,-104.09,1
0.18,-1.83,0.37,1
0.37,-1.77,0.31,1
0.35,-41.94,-106.35,1
0.18,-1.65,0.43,1
0.37,-1.77,0.31,1
0.51,-42.21,-105.98,1
0.31,-1.65,0.31,1
0.37,-1.77,0.31,1
0.32,-42.20,-106.02,1
0.18,-1.65,0.43,1
0.37,-1.77,0.31,1
0.23,-41.48,-105.16,1
0.06,-1.95,0.18,1
0.24,-1.89,0.31,1
0.42,-41.83,-104.43,1
0.24,-1.65,0.43,1
0.24,-1.89,0.31,1
0.12,-42.08,-105.19,1
0.31,-1.77,0.37,1
0.24,-1.89,0.31,1
0.28,-41.87,-105.14,1
0.24,-2.01,0.49,1
0.24,-1.89,0.31,1
0.76,-42.09,-105.57,1
0.31,-1.95,0.31,1
0.24,-1.89,0.31,1
0.35,-42.02,-106.75,1
0.18,-1.71,0.49,1
0.24,-1.89,0.31,1
0.26,-42.20,-106.24,1
0.37,-1.95,0.24,1
0.31,-1.83,0.24,1
0.12,-41.89,-105.66,1
0.49,-1.83,0.24,1
0.31,-1.83,0.24,1
0.71,-42.64,-105.65,1
0.12,-1.89,0.24,1
0.31,-1.83,0.24,1
0.31,-42.46,-106.04,1
0.31,-1.83,0.37,1
0.31,-1.83,0.24,1
0.38,-42.09,-105.90,1
0.12,-2.08,0.43,1
0.31,-1.83,0.24,1
0.50,-42.19,-106.35,1
0.12,-1.89,0.37,1
0.31,-1.83,0.24,1
0.60,-42.04,-105.74,1
0.06,-1.65,0.31,1
0.31,-1.71,0.37,1
0.44,-42.16,-105.77,1
0.31,-1.65,0.24,1
0.31,-1.71,0.37,1
0.32,-42.14,-106.36,1
0.12,-1.77,0.31,1
0.31,-1.71,0.37,1
0.23,-42.16,-106.95,1
0.00,-1.65,0.37,1
0.31,-1.71,0.37,1
-0.29,-42.25,-106.42,1
0.31,-1.77,0.31,1
0.31,-1.71,0.37,1
0.73,-42.35,-106.35,1
0.12,-1.83,0.37,1
0.31,-1.71,0.37,1
0.54,-42.26,-106.30,1
0.06,-1.59,0.49,1
0.24,-1.46,0.43,1
